Book,Character
Harry Potter and the Goblet of Fire,"3 Plot

3.1 Chapter 1: The Riddle House
3.2 Chapter 2: The Scar
3.3 Chapter 3: The Invitation
3.4 Chapter 4: Back to The Burrow
3.5 Chapter 5: Weasley's Wizard Wheezes
3.6 Chapter 6: The Portkey
3.7 Chapter 7: Bagman and Crouch
3.8 Chapter 8: The Quidditch World Cup
3.9 Chapter 9: The Dark Mark
3.10 Chapter 10: Mayhem at the Ministry
3.11 Chapter 11: Aboard the Hogwarts Express
3.12 Chapter 12: The Triwizard Tournament
3.13 Chapter 13: Mad-Eye Moody
3.14 Chapter 14: The Unforgivable Curses
3.15 Chapter 15: Beauxbatons and Durmstrang
3.16 Chapter 16: The Goblet of Fire
3.17 Chapter 17: The Four Champions
3.18 Chapter 18: The Weighing of the Wands
3.19 Chapter 19: The Hungarian Horntail
3.20 Chapter 20: The First Task
3.21 Chapter 21: The House-Elf Liberation Front
3.22 Chapter 22: The Unexpected Task
3.23 Chapter 23: The Yule Ball
3.24 Chapter 24: Rita Skeeter's Scoop
3.25 Chapter 25: The Egg and the Eye
3.26 Chapter 26: The Second Task
3.27 Chapter 27: Padfoot Returns
3.28 Chapter 28: The Madness of Mr Crouch
3.29 Chapter 29: The Dream
3.30 Chapter 30: The Pensieve
3.31 Chapter 31: The Third Task
3.32 Chapter 32: Flesh, Blood and Bone
3.33 Chapter 33: The Death Eaters
3.34 Chapter 34: Priori Incantatem
3.35 Chapter 35: Veritaserum
3.36 Chapter 36: The Parting of the Ways
3.37 Chapter 37: The Beginning"
Harry Potter and the Goblet of Fire,3.1 Chapter 1: The Riddle House
Harry Potter and the Goblet of Fire,3.2 Chapter 2: The Scar
Harry Potter and the Goblet of Fire,3.3 Chapter 3: The Invitation
Harry Potter and the Goblet of Fire,3.4 Chapter 4: Back to The Burrow
Harry Potter and the Goblet of Fire,3.5 Chapter 5: Weasley's Wizard Wheezes
Harry Potter and the Goblet of Fire,3.6 Chapter 6: The Portkey
Harry Potter and the Goblet of Fire,3.7 Chapter 7: Bagman and Crouch
Harry Potter and the Goblet of Fire,3.8 Chapter 8: The Quidditch World Cup
Harry Potter and the Goblet of Fire,3.9 Chapter 9: The Dark Mark
Harry Potter and the Goblet of Fire,3.10 Chapter 10: Mayhem at the Ministry
Harry Potter and the Goblet of Fire,3.11 Chapter 11: Aboard the Hogwarts Express
Harry Potter and the Goblet of Fire,3.12 Chapter 12: The Triwizard Tournament
Harry Potter and the Goblet of Fire,3.13 Chapter 13: Mad-Eye Moody
Harry Potter and the Goblet of Fire,3.14 Chapter 14: The Unforgivable Curses
Harry Potter and the Goblet of Fire,3.15 Chapter 15: Beauxbatons and Durmstrang
Harry Potter and the Goblet of Fire,3.16 Chapter 16: The Goblet of Fire
Harry Potter and the Goblet of Fire,3.17 Chapter 17: The Four Champions
Harry Potter and the Goblet of Fire,3.18 Chapter 18: The Weighing of the Wands
Harry Potter and the Goblet of Fire,3.19 Chapter 19: The Hungarian Horntail
Harry Potter and the Goblet of Fire,3.20 Chapter 20: The First Task
Harry Potter and the Goblet of Fire,3.21 Chapter 21: The House-Elf Liberation Front
Harry Potter and the Goblet of Fire,3.22 Chapter 22: The Unexpected Task
Harry Potter and the Goblet of Fire,3.23 Chapter 23: The Yule Ball
Harry Potter and the Goblet of Fire,3.24 Chapter 24: Rita Skeeter's Scoop
Harry Potter and the Goblet of Fire,3.25 Chapter 25: The Egg and the Eye
Harry Potter and the Goblet of Fire,3.26 Chapter 26: The Second Task
Harry Potter and the Goblet of Fire,3.27 Chapter 27: Padfoot Returns
Harry Potter and the Goblet of Fire,3.28 Chapter 28: The Madness of Mr Crouch
Harry Potter and the Goblet of Fire,3.29 Chapter 29: The Dream
Harry Potter and the Goblet of Fire,3.30 Chapter 30: The Pensieve
Harry Potter and the Goblet of Fire,3.31 Chapter 31: The Third Task
Harry Potter and the Goblet of Fire,"3.32 Chapter 32: Flesh, Blood and Bone"
Harry Potter and the Goblet of Fire,3.33 Chapter 33: The Death Eaters
Harry Potter and the Goblet of Fire,3.34 Chapter 34: Priori Incantatem
Harry Potter and the Goblet of Fire,3.35 Chapter 35: Veritaserum
Harry Potter and the Goblet of Fire,3.36 Chapter 36: The Parting of the Ways
Harry Potter and the Goblet of Fire,3.37 Chapter 37: The Beginning
Harry Potter and the Goblet of Fire,4 List of deaths
Harry Potter and the Goblet of Fire,"5 Editions

5.1 English-language
5.2 Translations (cover based on Scholastic's)
5.3 Translations (alternative covers)
5.4 Illustrated Editions
5.5 Hogwarts House Edition"
Harry Potter and the Goblet of Fire,5.1 English-language
Harry Potter and the Goblet of Fire,5.2 Translations (cover based on Scholastic's)
Harry Potter and the Goblet of Fire,5.3 Translations (alternative covers)
Harry Potter and the Goblet of Fire,5.4 Illustrated Editions
Harry Potter and the Goblet of Fire,5.5 Hogwarts House Edition
Harry Potter and the Goblet of Fire,6 Behind the scenes
Harry Potter and the Goblet of Fire,7 Mistakes
Harry Potter and the Goblet of Fire,8 Film adaptation
Harry Potter and the Goblet of Fire,9 Notes and references
Harry Potter and the Goblet of Fire,10 See also
Harry Potter and the Goblet of Fire,"The book presents the second out of five instances in which the opening narrative is not delivered through a point of view close to Harry: The first instance is in Harry Potter and the Philosopher's Stone, Chapter 1 (The Boy Who Lived) which is told from the perspective of Vernon Dursley. The second instance is Harry Potter and the Goblet of Fire, Chapter 1 (The Riddle House), from the perspective of the Muggle caretaker, Frank Bryce. The third instance is in Harry Potter and the Half-Blood Prince, Chapter 1 (The Other Minister) told from the perspective of the British Minister. The fourth instance is in Harry Potter and the Half-Blood Prince, Chapter 2 (Spinner's End) told from the perspective of Narcissa Malfoy and Bellatrix Lestrange. The final instance is in Harry Potter and the Deathly Hallows, Chapter 1 (The Dark Lord Ascending) told from the perspective of nearly all of the Death Eaters."
Harry Potter and the Goblet of Fire,"The book presents a greater international aspect to the wizarding community: the Quidditch World Cup; the Triwizard Tournament and two other European wizarding schools, Beauxbatons and Durmstrang; an unnamed wizarding school in Brazil; and an American wizarding institute, are either shown or mentioned."
Harry Potter and the Goblet of Fire,"Due to the uncertainty over what the book's title would be, the American audiobook by Jim Dale simply calls it ""the fourth volume in the Harry Potter series""."
Harry Potter and the Goblet of Fire,"The book mentions the name of a real person - Natalie McDonald, a nine-year-old girl from Toronto, Canada, who was dying of leukaemia. She wrote to Rowling asking what was going to happen in the next Harry Potter book as she would not live long enough to read it. The former emailed back, but Natalie had died a day earlier. In tribute, she became a first-year student at Hogwarts named by the Sorting Hat in Gryffindor - the house for the brave at heart - in the fourth book. When Rowling was later in Canada for a promotional tour she visited the McDonald family. With the exception of historical people such as Nicolas Flamel, this is the only Harry Potter book to so honour an individual."
Harry Potter and the Goblet of Fire,"Dumbledore was said to have a ""gleam of triumph"" in his eyes when told that Voldemort had restored his body using Harry's blood, at the end of Goblet of Fire (Ch. 36). Rowling has confirmed that this is ""still enormously significant"". It turned out that this was very significant because when Voldemort used Harry's blood to revive himself he made it so that as long as he lived Harry could not die, as revealed in Harry Potter and the Deathly Hallows."
Harry Potter and the Goblet of Fire,"In Hogsmeade, Sirius implied that at a certain point, Snape's attendance at Hogwarts overlapped with Lestrange's. It could have meant Rodolphus or Rabastan Lestrange, Bellatrix's husband and brother-in-law respectively, as Bellatrix would have left school about two years before Snape started."
Harry Potter and the Goblet of Fire,"In the film version, it was heavily implied by the sheer number of students that everyone from Beauxbatons and Durmstrang made the trip to Hogwarts. However, in the book, it was mentioned that after the Durmstrang and Beauxbatons students entered the school and the Hallowe'en feast began, there were only about twenty extra students in the Great Hall. Igor Karkaroff also said in the book (during the argument about letting Harry Potter participate in the Triwizard Tournament) that he would have brought more students to Hogwarts if he had known younger students could enter the Tournament."
Harry Potter and the Goblet of Fire,"At the end of Prisoner of Azkaban, Cornelius Fudge mentioned possibly bringing a dragon to Hogwarts to guard the school. Ironically, the Ministry does bring dragons to Hogwarts, although for a different purpose."
Harry Potter and the Goblet of Fire,"In the chapter entitled ""The Unforgivable Curses"" when Harry and Ron are doing their Divination homework, some of their fake prophecies could be considered as coming true throughout the book. For example, ""stabbed in the back by someone you thought was a friend,"" may refer to Ron feeling betrayed by Harry becoming a Triwizard Champion since he thought Harry really did put his name in the Goblet without telling him. And possibly feeling slightly jealous at Harry's many achievements (whether deserved or not) and when Hermione points out Ron's apparent double drowning it could be interpreted as foreshadowing to she and Ron being placed at the bottom of the lake during the second task."
Harry Potter and the Goblet of Fire,"Cedric's death marked the first occasion in the series where a protagonist is killed off (excluding minor characters such as Frank Bryce, and deaths that occurred outside of the action, such as Lily and James.) In every book after this, at least one main character dies. In Harry Potter and the Order of the Phoenix, Sirius Black is murdered by his cousin Bellatrix Lestrange. In Harry Potter and the Half-Blood Prince, Albus Dumbledore is murdered by Severus Snape. Finally, in Harry Potter and the Deathly Hallows, a number of protagonists are killed. These deaths include Alastor ""Mad-Eye"" Moody, Fred Weasley, Severus Snape, Dobby, Remus Lupin, Nymphadora Tonks, Lavender Brown, and Colin Creevey."
Harry Potter and the Goblet of Fire,"This book is also very significant as it is not only the very middle book in the series, but it is the one in which Lord Voldemort comes back into power after gaining his own body. Therefore, this book is instrumental in changing not only the tone, but also the story structure for the remainder of the series."
Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire (film)
Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire (video game)
Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire (soundtrack)
Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire (character index)
Harry Potter and the Goblet of Fire,1994–1995 school year
Harry Potter and the Order of the Phoenix,Jason Cockcroft (UK)
Harry Potter and the Order of the Phoenix,Jonny Duddle (UK) (Children's Edition redesign)
Harry Potter and the Order of the Phoenix,Mary GrandPré (US)
Harry Potter and the Order of the Phoenix,Kazu Kibuishi (US) (15th Anniversary Edition)
Harry Potter and the Order of the Phoenix,Olly Moss (Pottermore eBook)
Harry Potter and the Order of the Phoenix,Nicholas Filbert (Indonesia)
Harry Potter and the Order of the Phoenix,Mary GrandPré (US)
Harry Potter and the Order of the Phoenix,Stephen Fry (UK)
Harry Potter and the Order of the Phoenix,Jim Dale (US)
Harry Potter and the Order of the Phoenix,"Bloomsbury (UK, Canada)"
Harry Potter and the Order of the Phoenix,Scholastic (US)
Harry Potter and the Order of the Phoenix,Raincoast Books (Canada (formerly))
Harry Potter and the Order of the Phoenix,Salamandra (Mexico)
Harry Potter and the Order of the Phoenix,Yapı Kredi Yayınları (Turkey))
Harry Potter and the Order of the Phoenix,Penerbit Gramedia Pustaka Utama (Indonesia)
Harry Potter and the Order of the Phoenix,800 (UK)
Harry Potter and the Order of the Phoenix,870 (US)
Harry Potter and the Order of the Phoenix,1001 (SWE)
Harry Potter and the Order of the Phoenix,893 (MX)
Harry Potter and the Order of the Phoenix,1050 (FIN)
Harry Potter and the Order of the Phoenix,990 (RO)
Harry Potter and the Order of the Phoenix,1114 (Turkey)
Harry Potter and the Order of the Phoenix,1203 (Indonesia)
Harry Potter and the Order of the Phoenix,1 Dedication
Harry Potter and the Order of the Phoenix,2 Book description
Harry Potter and the Order of the Phoenix,"3 Plot

3.1 Chapter 1: Dudley Demented
3.2 Chapter 2: A Peck of Owls
3.3 Chapter 3: The Advance Guard
3.4 Chapter 4: Number Twelve Grimmauld Place
3.5 Chapter 5: The Order of the Phoenix
3.6 Chapter 6: The Noble and Most Ancient House of Black
3.7 Chapter 7: The Ministry of Magic
3.8 Chapter 8: The Hearing
3.9 Chapter 9: The Woes of Mrs Weasley
3.10 Chapter 10: Luna Lovegood
3.11 Chapter 11: The Sorting Hat's New Song
3.12 Chapter 12: Professor Umbridge
3.13 Chapter 13: Detention with Dolores
3.14 Chapter 14: Percy and Padfoot
3.15 Chapter 15: The Hogwarts High Inquisitor
3.16 Chapter 16: In The Hog's Head
3.17 Chapter 17: Educational Decree Number Twenty-Four
3.18 Chapter 18: Dumbledore's Army
3.19 Chapter 19: The Lion and the Serpent
3.20 Chapter 20: Hagrid's Tale
3.21 Chapter 21: The Eye of the Snake
3.22 Chapter 22: St Mungo's Hospital for Magical Maladies and Injuries
3.23 Chapter 23: Christmas on the Closed Ward
3.24 Chapter 24: Occlumency
3.25 Chapter 25: The Beetle at Bay
3.26 Chapter 26: Seen and Unforeseen
3.27 Chapter 27: The Centaur and the Sneak
3.28 Chapter 28: Snape's Worst Memory
3.29 Chapter 29: Careers Advice
3.30 Chapter 30: Grawp
3.31 Chapter 31: O.W.L.s
3.32 Chapter 32: Out of the Fire
3.33 Chapter 33: Fight and Flight
3.34 Chapter 34: The Department of Mysteries
3.35 Chapter 35: Beyond the Veil
3.36 Chapter 36: The Only One He Ever Feared
3.37 Chapter 37: The Lost Prophecy
3.38 Chapter 38: The Second War Begins"
Harry Potter and the Order of the Phoenix,3.1 Chapter 1: Dudley Demented
Harry Potter and the Order of the Phoenix,3.2 Chapter 2: A Peck of Owls
Harry Potter and the Order of the Phoenix,3.3 Chapter 3: The Advance Guard
Harry Potter and the Order of the Phoenix,3.4 Chapter 4: Number Twelve Grimmauld Place
Harry Potter and the Order of the Phoenix,3.5 Chapter 5: The Order of the Phoenix
Harry Potter and the Order of the Phoenix,3.6 Chapter 6: The Noble and Most Ancient House of Black
Harry Potter and the Order of the Phoenix,3.7 Chapter 7: The Ministry of Magic
Harry Potter and the Order of the Phoenix,3.8 Chapter 8: The Hearing
Harry Potter and the Order of the Phoenix,3.9 Chapter 9: The Woes of Mrs Weasley
Harry Potter and the Order of the Phoenix,3.10 Chapter 10: Luna Lovegood
Harry Potter and the Order of the Phoenix,3.11 Chapter 11: The Sorting Hat's New Song
Harry Potter and the Order of the Phoenix,3.12 Chapter 12: Professor Umbridge
Harry Potter and the Order of the Phoenix,3.13 Chapter 13: Detention with Dolores
Harry Potter and the Order of the Phoenix,3.14 Chapter 14: Percy and Padfoot
Harry Potter and the Order of the Phoenix,3.15 Chapter 15: The Hogwarts High Inquisitor
Harry Potter and the Order of the Phoenix,3.16 Chapter 16: In The Hog's Head
Harry Potter and the Order of the Phoenix,3.17 Chapter 17: Educational Decree Number Twenty-Four
Harry Potter and the Order of the Phoenix,3.18 Chapter 18: Dumbledore's Army
Harry Potter and the Order of the Phoenix,3.19 Chapter 19: The Lion and the Serpent
Harry Potter and the Order of the Phoenix,3.20 Chapter 20: Hagrid's Tale
Harry Potter and the Order of the Phoenix,3.21 Chapter 21: The Eye of the Snake
Harry Potter and the Order of the Phoenix,3.22 Chapter 22: St Mungo's Hospital for Magical Maladies and Injuries
Harry Potter and the Order of the Phoenix,3.23 Chapter 23: Christmas on the Closed Ward
Harry Potter and the Order of the Phoenix,3.24 Chapter 24: Occlumency
Harry Potter and the Order of the Phoenix,3.25 Chapter 25: The Beetle at Bay
Harry Potter and the Order of the Phoenix,3.26 Chapter 26: Seen and Unforeseen
Harry Potter and the Order of the Phoenix,3.27 Chapter 27: The Centaur and the Sneak
Harry Potter and the Order of the Phoenix,3.28 Chapter 28: Snape's Worst Memory
Harry Potter and the Order of the Phoenix,3.29 Chapter 29: Careers Advice
Harry Potter and the Order of the Phoenix,3.30 Chapter 30: Grawp
Harry Potter and the Order of the Phoenix,3.31 Chapter 31: O.W.L.s
Harry Potter and the Order of the Phoenix,3.32 Chapter 32: Out of the Fire
Harry Potter and the Order of the Phoenix,3.33 Chapter 33: Fight and Flight
Harry Potter and the Order of the Phoenix,3.34 Chapter 34: The Department of Mysteries
Harry Potter and the Order of the Phoenix,3.35 Chapter 35: Beyond the Veil
Harry Potter and the Order of the Phoenix,3.36 Chapter 36: The Only One He Ever Feared
Harry Potter and the Order of the Phoenix,3.37 Chapter 37: The Lost Prophecy
Harry Potter and the Order of the Phoenix,3.38 Chapter 38: The Second War Begins
Harry Potter and the Order of the Phoenix,4 List of deaths
Harry Potter and the Order of the Phoenix,5 Fights/duels
Harry Potter and the Order of the Phoenix,"6 Editions

6.1 English-language
6.2 Translations (cover based on Scholastic's)
6.3 Translations (alternative covers)
6.4 Illustrated Editions
6.5 Hogwarts House Edition"
Harry Potter and the Order of the Phoenix,6.1 English-language
Harry Potter and the Order of the Phoenix,6.2 Translations (cover based on Scholastic's)
Harry Potter and the Order of the Phoenix,6.3 Translations (alternative covers)
Harry Potter and the Order of the Phoenix,6.4 Illustrated Editions
Harry Potter and the Order of the Phoenix,6.5 Hogwarts House Edition
Harry Potter and the Order of the Phoenix,7 Behind the scenes
Harry Potter and the Order of the Phoenix,8 Mistakes
Harry Potter and the Order of the Phoenix,9 Film adaptation
Harry Potter and the Order of the Phoenix,10 See also
Harry Potter and the Order of the Phoenix,11 Notes and references
Harry Potter and the Order of the Phoenix,"In Chapter 1, Harry hears about a high profile celebrity divorce. Based on timing it may be the divorce of Kenneth Branagh and Emma Thompson, who divorced in 1995 after Branagh cheated on Thompson with Helena Bonham Carter. All three appear in the film series as Gilderoy Lockhart, Sybil Trelawney, and Bellatrix Lestrange, respectively."
Harry Potter and the Order of the Phoenix,"The phone number to get into the Ministry of Magic is 62442, which can be used to spell ""magic"" on a telephone keypad."
Harry Potter and the Order of the Phoenix,"When the group of students arrive at the Hog's Head for the first D.A. meeting, Fred and George Weasley arrive last, but then Fred jumps to the front of the group to reach the barman first."
Harry Potter and the Order of the Phoenix,"When Umbridge is inspecting Snape and Harry's potion is ruined, Snape gives him a zero and an essay to write on what he did wrong. Harry then says that he has Quidditch practice; but just that morning, Educational Decree Number Twenty-Four had been enforced and the Gryffindor Quidditch team had not been approved yet, although he hadn't realised that Quidditch teams were included in the Decree too."
Harry Potter and the Order of the Phoenix,It is the first book in the series to be released while the movies were being produced.
Harry Potter and the Order of the Phoenix,"This is the biggest book in the series, being over 700 pages in the UK edition and over 800 pages in the US edition."
Harry Potter and the Order of the Phoenix,A new audiobook is in the works with a full cast for characters.[3]
Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix (film)
Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix (video game)
Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix (soundtrack)
Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix on  Wikipedia
Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix (character index)
Harry Potter and the Order of the Phoenix,Fifth year
Harry Potter and the Order of the Phoenix,↑ Harry Potter and the Order of the Phoenix - Opening
Harry Potter and the Order of the Phoenix,↑ Harry Potter (website): An exclusive first look at images from the illustrated edition of Harry Potter and the Order of the Phoenix
Harry Potter and the Order of the Phoenix,↑ All seven Harry Potter audiobooks to be transformed into new full-cast ensemble productions
Harry Potter and the Half-Blood Prince,Jason Cockcroft (UK)
Harry Potter and the Half-Blood Prince,Jonny Duddle (UK) (Children's Edition redesign)
Harry Potter and the Half-Blood Prince,Mary GrandPré (US)
Harry Potter and the Half-Blood Prince,Kazu Kibuishi (US) (15th Anniversary Edition)
Harry Potter and the Half-Blood Prince,Olly Moss (Pottermore eBook)
Harry Potter and the Half-Blood Prince,Mary GrandPré (US)
Harry Potter and the Half-Blood Prince,Stephen Fry (UK)
Harry Potter and the Half-Blood Prince,Jim Dale (US)
Harry Potter and the Half-Blood Prince,"Bloomsbury (UK, Canada)"
Harry Potter and the Half-Blood Prince,Scholastic (US)
Harry Potter and the Half-Blood Prince,Raincoast Books (Canada (formerly))
Harry Potter and the Half-Blood Prince,Yapı Kredi Yayınları (Turkey)
Harry Potter and the Half-Blood Prince,607 (UK)
Harry Potter and the Half-Blood Prince,799 (US)
Harry Potter and the Half-Blood Prince,594 (Turkey)
Harry Potter and the Half-Blood Prince,"1 Book description

1.1 Raincoast Bloomsbury edition"
Harry Potter and the Half-Blood Prince,1.1 Raincoast Bloomsbury edition
Harry Potter and the Half-Blood Prince,2 Dedication
Harry Potter and the Half-Blood Prince,"3 Plot

3.1 Chapter 1: The Other Minister
3.2 Chapter 2: Spinner's End
3.3 Chapter 3: Will and Won't
3.4 Chapter 4: Horace Slughorn
3.5 Chapter 5: An Excess of Phlegm
3.6 Chapter 6: Draco's Detour
3.7 Chapter 7: The Slug Club
3.8 Chapter 8: Snape Victorious
3.9 Chapter 9: The Half-Blood Prince
3.10 Chapter 10: The House of Gaunt
3.11 Chapter 11: Hermione's Helping Hand
3.12 Chapter 12: Silver and Opals
3.13 Chapter 13: The Secret Riddle
3.14 Chapter 14: Felix Felicis
3.15 Chapter 15: The Unbreakable Vow
3.16 Chapter 16: A Very Frosty Christmas
3.17 Chapter 17: A Sluggish Memory
3.18 Chapter 18: Birthday Surprises
3.19 Chapter 19: Elf Tails
3.20 Chapter 20: Lord Voldemort's Request
3.21 Chapter 21: The Unknowable Room
3.22 Chapter 22: After the Burial
3.23 Chapter 23: Horcruxes
3.24 Chapter 24: Sectumsempra
3.25 Chapter 25: The Seer Overheard
3.26 Chapter 26: The Cave
3.27 Chapter 27: The Lightning-Struck Tower
3.28 Chapter 28: Flight of the Prince
3.29 Chapter 29: The Phoenix Lament
3.30 Chapter 30: The White Tomb"
Harry Potter and the Half-Blood Prince,3.1 Chapter 1: The Other Minister
Harry Potter and the Half-Blood Prince,3.2 Chapter 2: Spinner's End
Harry Potter and the Half-Blood Prince,3.3 Chapter 3: Will and Won't
Harry Potter and the Half-Blood Prince,3.4 Chapter 4: Horace Slughorn
Harry Potter and the Half-Blood Prince,3.5 Chapter 5: An Excess of Phlegm
Harry Potter and the Half-Blood Prince,3.6 Chapter 6: Draco's Detour
Harry Potter and the Half-Blood Prince,3.7 Chapter 7: The Slug Club
Harry Potter and the Half-Blood Prince,3.8 Chapter 8: Snape Victorious
Harry Potter and the Half-Blood Prince,3.9 Chapter 9: The Half-Blood Prince
Harry Potter and the Half-Blood Prince,3.10 Chapter 10: The House of Gaunt
Harry Potter and the Half-Blood Prince,3.11 Chapter 11: Hermione's Helping Hand
Harry Potter and the Half-Blood Prince,3.12 Chapter 12: Silver and Opals
Harry Potter and the Half-Blood Prince,3.13 Chapter 13: The Secret Riddle
Harry Potter and the Half-Blood Prince,3.14 Chapter 14: Felix Felicis
Harry Potter and the Half-Blood Prince,3.15 Chapter 15: The Unbreakable Vow
Harry Potter and the Half-Blood Prince,3.16 Chapter 16: A Very Frosty Christmas
Harry Potter and the Half-Blood Prince,3.17 Chapter 17: A Sluggish Memory
Harry Potter and the Half-Blood Prince,3.18 Chapter 18: Birthday Surprises
Harry Potter and the Half-Blood Prince,3.19 Chapter 19: Elf Tails
Harry Potter and the Half-Blood Prince,3.20 Chapter 20: Lord Voldemort's Request
Harry Potter and the Half-Blood Prince,3.21 Chapter 21: The Unknowable Room
Harry Potter and the Half-Blood Prince,3.22 Chapter 22: After the Burial
Harry Potter and the Half-Blood Prince,3.23 Chapter 23: Horcruxes
Harry Potter and the Half-Blood Prince,3.24 Chapter 24: Sectumsempra
Harry Potter and the Half-Blood Prince,3.25 Chapter 25: The Seer Overheard
Harry Potter and the Half-Blood Prince,3.26 Chapter 26: The Cave
Harry Potter and the Half-Blood Prince,3.27 Chapter 27: The Lightning-Struck Tower
Harry Potter and the Half-Blood Prince,3.28 Chapter 28: Flight of the Prince
Harry Potter and the Half-Blood Prince,3.29 Chapter 29: The Phoenix Lament
Harry Potter and the Half-Blood Prince,3.30 Chapter 30: The White Tomb
Harry Potter and the Half-Blood Prince,4 List of deaths
Harry Potter and the Half-Blood Prince,5 Controversies
Harry Potter and the Half-Blood Prince,"6 Editions

6.1 English-language
6.2 Translations (cover based on Scholastic's)
6.3 Translations (alternative covers)
6.4 Hogwarts House Edition"
Harry Potter and the Half-Blood Prince,6.1 English-language
Harry Potter and the Half-Blood Prince,6.2 Translations (cover based on Scholastic's)
Harry Potter and the Half-Blood Prince,6.3 Translations (alternative covers)
Harry Potter and the Half-Blood Prince,6.4 Hogwarts House Edition
Harry Potter and the Half-Blood Prince,7 Translations
Harry Potter and the Half-Blood Prince,8 Behind the scenes
Harry Potter and the Half-Blood Prince,9 Mistakes
Harry Potter and the Half-Blood Prince,10 Film adaptation
Harry Potter and the Half-Blood Prince,11 See also
Harry Potter and the Half-Blood Prince,12 Notes and references
Harry Potter and the Half-Blood Prince,13 External links
Harry Potter and the Half-Blood Prince,That he watch over Draco while he attempts to carry out his mission as a Death Eater.
Harry Potter and the Half-Blood Prince,That he protect him and make sure he comes to no harm.
Harry Potter and the Half-Blood Prince,That he do the job for Draco if he proves unable to do it himself.
Harry Potter and the Half-Blood Prince,ISBN 0747581088 Hardcover
Harry Potter and the Half-Blood Prince,ISBN 074758110X Hardcover (adult edition)
Harry Potter and the Half-Blood Prince,ISBN 155192756X Hardcover
Harry Potter and the Half-Blood Prince,ISBN 1551927608 Hardcover (adult edition)
Harry Potter and the Half-Blood Prince,ISBN 0747581525 Hardcover (large print edition)
Harry Potter and the Half-Blood Prince,ISBN 0439784549 US Hardcover
Harry Potter and the Half-Blood Prince,ISBN 0439791324 Deluxe Edition
Harry Potter and the Half-Blood Prince,Albania: 10 November 2005
Harry Potter and the Half-Blood Prince,Belgium: 19 November 2005
Harry Potter and the Half-Blood Prince,Braille (English): 19 July 2005
Harry Potter and the Half-Blood Prince,"Brazil: 26 December, 2005 (by Lia Wyler)"
Harry Potter and the Half-Blood Prince,Bulgaria: 13 December 2005
Harry Potter and the Half-Blood Prince,"China: November, 2005"
Harry Potter and the Half-Blood Prince,Croatia: 15 October 2005
Harry Potter and the Half-Blood Prince,"Denmark: October, 2005"
Harry Potter and the Half-Blood Prince,"Estonia: November, 2005"
Harry Potter and the Half-Blood Prince,Finland: 16 March 2006
Harry Potter and the Half-Blood Prince,France: 1 October 2005
Harry Potter and the Half-Blood Prince,"Germany, Switzerland, Turkey and Austria: 1 October 2005"
Harry Potter and the Half-Blood Prince,Greece: 2 December 2005
Harry Potter and the Half-Blood Prince,"Hungary: February, 2006"
Harry Potter and the Half-Blood Prince,"Iceland: November, 2005"
Harry Potter and the Half-Blood Prince,"Israel: November, 2005"
Harry Potter and the Half-Blood Prince,"Italy: January, 2006"
Harry Potter and the Half-Blood Prince,Japan: 17 May 2006
Harry Potter and the Half-Blood Prince,Lithuania: 1 October 2005
Harry Potter and the Half-Blood Prince,Montenegro: 24 December 2005
Harry Potter and the Half-Blood Prince,Netherlands: 19 November 2005
Harry Potter and the Half-Blood Prince,"Norway: November, 2005"
Harry Potter and the Half-Blood Prince,Poland: 28 January 2006
Harry Potter and the Half-Blood Prince,"Portugal: September/October, 2005"
Harry Potter and the Half-Blood Prince,Romania: 24 December 2005
Harry Potter and the Half-Blood Prince,Russia: 1 October 2005
Harry Potter and the Half-Blood Prince,"Serbia: September, 2005"
Harry Potter and the Half-Blood Prince,South Africa: 15 November 2005 (Afrikaans translation)
Harry Potter and the Half-Blood Prince,"Slovenia: December, 2005"
Harry Potter and the Half-Blood Prince,Spain: 16 March 2006
Harry Potter and the Half-Blood Prince,Sweden: 30 November 2005
Harry Potter and the Half-Blood Prince,Taiwan: 1 October 2005
Harry Potter and the Half-Blood Prince,"Along with Harry Potter and the Prisoner of Azkaban, this is one of the books in the series where the cover art for the UK and US editions depicts the same subjects."
Harry Potter and the Half-Blood Prince,"This, along with Chamber of Secrets, was the only book that did not end in King's Cross. (Chamber of Secrets ends in Platform nine and three quarters and the final sentence is going to King's Cross which does not count because no dialogue was shown in King's Cross)."
Harry Potter and the Half-Blood Prince,"Before its release, a rumour circulated a chapter was to be entitled, ""Lupin's Papers."" Rowling responded that this was not the case, ""nor will there be chapters entitled 'Pettigrew's Pamphlets,' 'Sirius' Circulars' or 'The Pocket Crosswords of Severus Snape'.""[1]"
